,P7,P28,P70
307,43.536,4.859,44.111
308,74.797,28.896,55.107
309,35.928,49.992,4.923
310,58.559,62.395,66.294
311,33.754,57.664,1.406
312,0.895,19.115,70.13
313,42.513,22.183,14.895
314,1.982,27.298,40.659
315,23.206,46.988,56.513
316,34.841,30.814,12.658
317,52.933,44.814,77.865
318,47.755,48.778,41.682
319,36.951,14.32,65.847
320,42.385,36.759,20.969
321,60.221,26.211,76.906
322,10.676,32.028,54.084
323,7.544,36.184,11.955
324,45.709,49.353,60.029
325,1.918,34.586,1.47
326,9.589,1.215,70.705
327,81.637,40.531,43.6
328,65.08,22.759,68.34
329,27.745,39.061,1.151
330,9.525,25.38,56.193
331,30.622,20.074,63.354
332,2.429,31.581,40.851
333,14.32,45.517,57.025
334,21.16,14.704,21.033
335,24.804,23.718,66.358
336,106.25,39.828,100.624
337,3.9,8.63,15.79
338,45.645,39.956,78.952
339,48.394,52.294,17.58
340,33.754,28.896,51.846
341,25.38,43.024,3.388
342,0.767,26.083,74.413
343,50.696,34.969,3.069
344,40.787,29.919,33.499
345,50.12,6.073,26.786
346,68.084,31.645,74.669
347,59.518,53.253,62.906
348,159.822,6.713,22.695
349,36.503,27.17,58.431
350,0.767,30.047,61.372
351,23.526,38.805,48.778
352,42.001,23.398,39.892
353,47.627,31.325,9.653
354,30.366,18.603,93.784
355,10.932,4.091,35.097
356,84.13,1.662,33.563
357,61.18,42.704,54.851
358,99.537,37.015,61.116
359,3.005,26.019,41.298
360,1.151,39.892,71.409
361,21.16,27.298,50.632
362,70.258,8.055,31.133
363,50.056,43.024,64.057
364,33.499,40.851,68.979
365,47.243,14.576,43.088
366,38.933,67.573,43.6
367,3.388,59.006,45.07
368,46.348,29.983,31.964
369,2.238,33.435,38.997
370,50.376,7.224,76.395
371,6.776,28.257,46.285
372,9.845,46.54,19.69
373,55.426,41.618,66.422
374,13.936,21.288,42.065
375,49.225,46.732,59.07
376,11.571,0.959,1.79
377,46.86,40.723,6.585
378,54.148,36.695,51.846
379,7.48,35.481,29.471
380,64.952,12.53,64.696
381,53.636,32.668,42.896
382,21.864,65.783,73.263
383,71.217,29.343,14.0
384,56.321,42.641,53.572
385,33.435,36.823,54.723
386,39.124,49.417,30.366
387,35.353,42.768,47.371
388,88.478,51.271,55.938
389,53.7,12.786,0.767
390,66.614,29.535,67.509
391,33.243,49.928,37.782
392,31.389,5.754,29.983
393,54.403,26.786,47.243
394,12.85,54.531,73.518
395,15.663,34.33,60.924
396,50.504,27.873,11.699
397,54.02,20.841,70.897
398,32.092,33.435,26.722
399,18.092,56.577,46.924
400,40.275,40.467,5.114
401,39.892,71.472,18.475
402,39.764,18.092,54.276
403,20.585,25.572,57.088
404,65.591,26.978,7.799
405,60.157,1.854,61.116
406,33.179,58.815,43.344
407,46.668,45.453,28.32
408,70.066,3.133,48.011
409,56.066,1.726,36.376
410,44.878,26.339,63.801
411,36.567,26.147,3.196
412,27.425,20.329,86.304
413,63.801,34.01,35.736
414,17.069,52.869,46.796
415,53.445,26.53,44.942
416,4.859,2.174,71.984
417,68.851,27.809,0.767
418,31.581,26.978,61.564
419,3.26,1.598,67.509
420,1.662,25.572,20.777
421,56.257,39.764,43.983
422,15.535,34.777,52.805
423,33.435,25.827,30.75
424,43.536,14.576,97.747
425,47.307,51.015,45.39
426,72.943,19.051,55.682
427,24.037,52.55,78.696
428,40.339,34.969,61.564
429,3.516,1.726,73.966
430,52.486,27.17,58.303
431,45.965,36.631,49.417
432,15.151,13.553,74.158
433,51.718,26.722,7.863
434,33.818,54.659,42.065
435,47.052,1.406,49.481
436,56.577,47.755,45.837
437,0.767,22.695,57.088
438,7.927,36.823,28.32
439,49.673,28.64,22.311
440,34.394,44.558,55.171
441,9.014,11.379,44.431
442,31.901,26.339,52.102
443,57.92,32.156,70.45
444,8.119,23.782,50.887
445,16.813,26.594,32.732
446,51.015,26.083,53.125
447,70.514,42.641,1.215
448,43.791,11.251,34.202
449,61.755,10.804,74.605
450,51.207,51.591,31.197
451,34.01,31.389,28.32
452,54.915,20.777,51.207
453,45.837,47.755,54.148
454,42.193,41.426,15.727
455,30.43,6.968,42.704
456,6.201,73.199,30.622
457,41.937,13.361,44.686
458,15.087,25.252,51.782
459,61.052,5.242,51.207
460,10.229,14.256,11.379
461,72.751,59.262,9.206
462,46.157,8.311,31.133
463,38.933,31.581,59.326
464,50.12,10.293,24.165
465,25.827,4.347,43.791
466,54.467,52.933,44.558
467,57.536,9.461,69.938
468,8.63,21.736,3.964
469,8.183,44.686,1.215
470,74.03,28.001,41.17
471,12.658,16.11,55.298
472,40.978,20.329,81.573
473,79.272,34.01,44.558
474,42.577,44.303,42.321
475,45.39,53.508,4.475
476,49.353,17.708,34.777
477,1.343,53.7,38.613
478,2.493,7.352,1.023
479,11.955,9.781,55.938
480,32.284,35.672,49.097
481,5.562,33.754,6.585
482,21.544,48.906,50.887
483,34.01,12.019,22.375
484,41.234,18.348,39.572
485,49.865,31.581,49.481
486,5.434,58.751,2.429
487,6.457,3.452,91.163
488,40.403,84.194,58.303
