 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AC0-DAPI,StdDev+AC0-DAPI,Mode+AC0-DAPI,Min+AC0-DAPI,Max+AC0-DAPI,XM+AC0-DAPI,YM+AC0-DAPI,IntDen+AC0-DAPI,Median+AC0-DAPI,RawIntDen+AC0-DAPI,Mean+AC0-Sox2,StdDev+AC0-Sox2,Mode+AC0-Sox2,Min+AC0-Sox2,Max+AC0-Sox2,XM+AC0-Sox2,YM+AC0-Sox2,IntDen+AC0-Sox2,Median+AC0-Sox2,RawIntDen+AC0-Sox2,Mean+AC0-Klf4,StdDev+AC0-Klf4,Mode+AC0-Klf4,Min+AC0-Klf4,Max+AC0-Klf4,XM+AC0-Klf4,YM+AC0-Klf4,IntDen+AC0-Klf4,Median+AC0-Klf4,RawIntDen+AC0-Klf4,Mean+AC0-Sox9,StdDev+AC0-Sox9,Mode+AC0-Sox9,Min+AC0-Sox9,Max+AC0-Sox9,XM+AC0-Sox9,YM+AC0-Sox9,IntDen+AC0-Sox9,Median+AC0-Sox9,RawIntDen+AC0-Sox9
364,14.444,87.432,2.033,15.95,85.48,4.672,4.293,4.798,5.385,3.415,114.449,0.713,5.886,684,986,125.395,3.751,1.577,0.634,0.924,196.849,26.989,201,101,255,87.486,1.97,2843.214,198,178345,40.911,13.811,27,14,81,87.516,1.966,590.898,40,37065,2.532,3.006,0,0,26,87.707,1.726,36.571,2,2294,127.258,50.967,115,29,255,87.476,2.038,1838.073,130,115296
365,26.113,61.361,1.722,21.894,57.828,4.293,7.702,4.419,7.583,4.384,174.893,0.685,7.996,460,1001,158.703,4.419,1.73,0.578,0.938,172.461,42.265,255,48,255,61.496,1.593,4503.531,170,282491,43.281,17.611,34,9,104,61.592,1.715,1130.207,41,70894,1.568,1.975,0,0,14,61.766,1.752,40.956,1,2569,76.084,35.814,52,8,214,61.654,1.613,1986.814,71,124626
366,11.925,99.14,2.037,13.764,97.348,4.293,3.788,4.167,4.825,3.147,124.676,0.791,5.305,775,989,128.234,3.388,1.533,0.652,0.941,199.317,35.657,255,79,255,99.164,1.96,2376.808,200,149089,48.42,18.013,57,11,95,99.332,2.003,577.395,50,36218,1.588,2.445,0,0,27,99.515,1.724,18.939,1,1188,112.901,48.104,146,25,255,99.325,2.001,1346.32,115,84450
367,6.68,47.913,1.872,10.925,46.717,3.914,2.399,3.788,4.142,2.053,72.631,0.703,4.354,370,1022,60.461,2.209,2.017,0.496,0.904,121.902,31.68,117,64,187,47.897,1.684,814.28,117,51077,28.601,11.068,22,10,69,47.865,1.638,191.051,26,11984,0.811,1.12,0,0,7,47.917,1.67,5.42,0,340,27.143,12.068,16,8,67,47.854,1.63,181.311,25,11373
368,13.184,119.443,1.622,13.869,117.298,3.662,4.167,3.788,4.541,3.697,28.684,0.861,4.834,931,1023,40.764,3.788,1.228,0.814,0.958,71.181,12.469,68,40,109,119.431,1.549,938.47,70,58867,17.334,4.245,13,8,32,119.505,1.676,228.532,17,14335,1.924,2.96,0,0,30,119.363,1.625,25.364,1,1591,25.811,15.717,20,9,178,119.684,1.877,340.302,22,21346
369,12.276,29.448,1.211,14.774,27.02,3.03,5.303,3.157,4.824,3.24,174.786,0.707,5.44,216,1008,158.199,3.157,1.489,0.672,0.928,202.762,37.093,255,78,255,29.493,1.203,2489.01,205,156127,54.943,23.182,61,10,113,29.576,1.115,674.451,56,42306,0.774,1.267,0,0,9,29.726,1.292,9.502,0,596,65.477,31.049,82,11,177,29.462,1.143,803.758,63,50417
370,3.73,0.81,0.956,7.52,0,2.273,1.768,2.399,2.599,1.828,108.215,0.829,2.98,0,1005,126.384,1.768,1.422,0.703,0.967,162.12,43.98,176,60,254,0.831,0.829,604.784,166,37936,47.966,20.868,34,13,102,0.769,0.777,178.935,47,11224,0.94,1.325,0,0,6,0.715,0.877,3.507,0,220,40.547,21.466,19,8,106,0.691,0.788,151.26,37,9488
371,7.397,127.08,0.769,11.073,124.874,1.894,4.293,2.02,4.546,2.072,2.173,0.758,4.41,989,1015,166.759,2.02,2.195,0.456,0.966,124.341,50.796,99,50,255,127.381,0.637,919.77,109,57694,32.83,9.86,34,13,66,127.134,0.774,242.848,34,15233,1.836,2.633,0,0,22,126.916,0.629,13.583,1,852,56.782,43.069,31,13,255,127.011,0.967,420.029,43,26347
372,5.867,73.592,0.608,10.494,71.338,1.641,4.293,1.768,4.25,1.757,2.229,0.669,4.359,565,1018,169.992,1.768,2.418,0.413,0.938,162.723,45.108,156,66,255,73.807,0.559,954.651,165,59882,29.598,8.156,25,13,52,73.632,0.56,173.643,28,10892,1.535,1.835,0,0,10,73.614,0.689,9.007,1,565,29.416,11.667,23,11,83,73.445,0.559,172.574,27,10825
373,2.184,8.164,0.671,5.992,7.071,1.515,2.273,1.389,2.057,1.352,173.818,0.764,2.304,56,1019,170.538,1.389,1.521,0.657,0.938,177.891,35.656,199,94,242,8.234,0.659,388.528,188,24371,48.701,16.489,27,20,84,8.23,0.614,106.366,46,6672,2.102,2.553,0,0,15,8.418,0.602,4.591,2,288,73.591,23.154,96,33,126,8.195,0.638,160.729,77,10082
374,3.523,77.915,0.705,8.012,76.389,1.515,3.283,1.389,3.257,1.377,175.675,0.69,3.343,605,1017,169.114,1.389,2.364,0.423,0.944,201.792,28.551,210,120,255,77.944,0.675,710.959,201,44596,47.027,13.302,48,18,84,78.009,0.683,165.687,48,10393,1.67,2.844,0,0,26,77.461,0.642,5.883,1,369,79.602,25.461,68,26,158,78.062,0.671,280.455,77,17592
375,2.758,3.793,0.649,7.15,2.525,1.389,2.904,1.263,2.892,1.214,171.539,0.678,3.001,20,1016,165.379,1.263,2.382,0.42,0.943,179.838,38.215,162,83,254,3.861,0.637,495.994,182,31112,51.457,19.162,61,17,95,3.992,0.647,141.918,54,8902,1.133,2.29,0,0,19,3.999,0.434,3.125,0,196,72.324,31.851,55,17,143,4.059,0.618,199.469,75,12512
376,2.933,96.255,0.497,6.897,94.949,1.389,2.525,1.515,2.497,1.496,5.7,0.775,2.655,752,1024,25.346,1.515,1.669,0.599,0.934,179.147,41.112,187,87,255,96.372,0.511,525.503,185,32963,37.837,17.806,20,13,83,96.445,0.416,110.99,32,6962,1.832,1.902,0,0,8,95.996,0.441,5.373,1,337,54.033,28.69,24,14,135,96.421,0.389,158.497,45,9942
377,1.004,108.302,0.203,4.237,107.449,0.631,1.768,0.758,1.59,0.804,178.548,0.703,1.772,851,1023,175.914,0.758,1.978,0.506,0.913,135.349,27.763,123,85,198,108.337,0.174,135.939,135,8527,30.889,11.15,20,13,61,108.354,0.164,31.024,28,1946,3.095,2.381,3,0,11,108.334,0.179,3.109,3,195,28.381,8.488,23,13,51,108.279,0.177,28.505,28,1788
