 ,Area,X,Y,Perim,BX,BY,Width,Height,Major,Minor,Angle,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
343,28.202,15.393,6.772,21.302,13.131,10.606,4.798,7.702,7.91,4.539,81.9,0.781,7.785,14.52,126.263,81.607,4.516,1.743,0.574,0.945,171.149,38.811,141,81,255,15.452,6.842,4826.711,169,302763,60.781,26.932,82,11,114,15.442,6.835,1714.122,63,107521,9.148,8.123,0,0,57,15.503,6.968,257.993,7,16183,24.879,12.363,15,9,87,15.433,6.719,701.633,22,44011
344,24.2,10.518,6.116,20.156,8.333,9.343,4.545,6.818,7.197,4.282,82.556,0.749,7.179,9.343,126.515,66.14,4.371,1.681,0.595,0.941,171.49,37.378,173,86,255,10.466,6.156,4150.108,166,260322,57.115,27.118,22,9,112,10.537,6.263,1382.19,58,86700,8.597,7.765,2,0,43,10.609,6.238,208.062,6,13051,25.123,11.561,16,8,79,10.606,6.179,607.972,22,38136
345,27.5,22.928,4.942,24.154,20.581,9.217,4.167,9.217,9.622,3.639,99.01,0.592,9.524,21.97,119.949,104.589,4.058,2.644,0.378,0.919,146.532,35.158,145,81,255,23.042,4.791,4029.681,142,252768,45.703,19.544,57,7,95,22.94,4.968,1256.852,49,78838,31.962,20.597,13,0,112,22.963,5.017,878.958,31,55134,30.543,15.378,17,10,108,22.987,5.061,839.931,28,52686
346,34.053,113.281,5.608,22.626,110.353,9.091,5.808,7.576,7.781,5.573,94.598,0.836,8.042,111.364,120.202,112.135,5.77,1.396,0.716,0.96,157.138,42.855,132,53,255,113.321,5.567,5350.955,149,335647,46.632,22.91,63,6,91,113.258,5.777,1587.956,50,99607,7.557,6.906,0,0,45,113.263,5.785,257.339,6,16142,28.55,11.672,20,12,82,113.284,5.6,972.204,26,60983
347,38.947,120.656,5.109,24.799,117.045,9.091,6.692,8.333,8.893,5.576,120.618,0.796,9.21,118.055,120.707,123.254,5.982,1.595,0.627,0.945,175.76,40.689,163,48,255,120.523,5.2,6845.298,176,429382,32.3,15.086,44,2,63,120.646,5.281,1257.968,36,78908,4.707,4.788,0,0,30,120.618,5.417,183.304,3,11498,26.199,9.908,17,9,70,120.649,5.192,1020.349,25,64003
348,21.171,96.279,5.327,18.807,94.318,8.965,4.167,6.818,6.827,3.948,87.836,0.752,6.912,95.202,127.02,80.538,4.167,1.729,0.578,0.934,136.185,30.584,117,86,242,96.226,5.33,2883.213,131,180854,35.584,17.707,10,6,73,96.265,5.57,753.365,35,47256,24.745,19.111,1,0,91,96.208,5.631,523.877,21,32861,26.683,16.166,16,11,101,96.214,5.351,564.912,20,35435
349,42.566,53.327,4.556,25.187,50,8.712,6.818,8.586,8.73,6.208,110.156,0.843,8.865,52.273,120.454,107.403,6.27,1.406,0.711,0.963,155.19,41.679,157,52,253,53.308,4.845,6605.767,157,414357,29.594,16.225,37,3,76,53.245,5.015,1259.706,30,79017,14.751,13.247,0,0,73,53.157,5.213,627.868,12,39384,22.955,10.802,15,6,74,53.209,4.768,977.114,21,61291
350,28.377,85.249,5.427,21.276,81.818,8.46,6.439,6.313,6.914,5.226,131.874,0.788,7.428,81.818,122.475,148.201,5.742,1.323,0.756,0.927,166.792,38.01,136,88,255,85.324,5.458,4733.067,161,296889,48.34,23.447,16,8,92,85.244,5.519,1371.748,49,86045,5.317,5.549,0,0,35,85.156,5.437,150.893,4,9465,23.643,9.451,16,10,70,85.146,5.537,670.912,21,42084
351,26.448,27.075,3.451,21.376,25,7.576,4.419,7.702,7.842,4.294,94.518,0.727,7.874,25.884,121.591,105.819,4.405,1.826,0.548,0.927,143.543,35.151,96,85,251,27.008,3.369,3796.446,139,238138,45.455,21.807,19,7,110,27.084,3.522,1202.202,46,75410,35.995,22.775,4,0,106,27.137,3.608,952.005,36,59716,29.868,16.159,26,10,125,27.057,3.508,789.952,26,49551
352,23.818,36.004,3.903,19.269,33.46,7.197,5.177,6.439,6.521,4.65,60.571,0.806,6.678,34.722,128.409,74.65,4.783,1.402,0.713,0.949,131.695,37.779,108,68,219,35.966,3.945,3136.662,125,196752,28.507,9.919,21,10,65,35.978,4.01,678.963,27,42589,2.9,2.734,2,0,20,36.067,4.037,69.062,2,4332,21.096,7.765,19,12,105,35.951,3.766,502.451,20,31517
353,37.432,65.202,3.238,24.393,61.869,7.197,6.566,7.323,7.642,6.237,75.968,0.791,7.889,62.626,129.167,50.194,6.258,1.225,0.816,0.942,192.381,39.36,253,96,255,65.192,3.206,7201.256,197,451710,43.902,16.682,40,10,90,65.166,3.147,1643.371,43,103083,4.675,4.727,0,0,33,65.048,3.373,175.014,3,10978,61.804,23.815,70,14,156,65.203,3.165,2313.47,61,145116
354,19.481,90.834,3.501,18.481,88.763,7.071,4.293,6.944,7.02,3.534,108.842,0.717,7.433,89.015,122.096,110.898,3.779,1.987,0.503,0.924,145.12,28.764,128,90,242,90.913,3.496,2827.144,138,177337,44.709,18.4,55,14,82,90.874,3.597,871.003,44,54635,6.202,5.558,2,0,43,90.763,3.75,120.826,5,7579,31.579,11.096,28,15,76,90.803,3.501,615.194,29,38589
355,29.573,77.034,2.651,21.136,74.116,5.934,5.808,6.061,6.606,5.7,122.946,0.832,7.502,74.747,123.864,133.636,5.808,1.159,0.863,0.969,160.85,40.563,255,77,255,77.045,2.626,4756.789,154,298377,45.214,19.188,64,7,92,77.013,2.528,1337.105,47,83872,8.28,6.439,5,0,43,77.067,2.637,244.856,7,15359,31.847,10.373,35,14,112,76.995,2.562,941.802,31,59076
356,23.387,47.738,2.272,20.113,45.076,5.303,6.313,5.429,6.887,4.323,134.213,0.726,7.971,45.328,124.116,139.497,4.676,1.593,0.628,0.946,150.357,38.396,146,80,251,47.633,2.405,3516.437,147,220574,44.996,19.035,57,8,77,47.886,2.051,1052.329,50,66009,7.91,7.327,0,0,57,48.046,1.793,184.993,6,11604,31.264,15.696,18,12,137,47.815,2.177,731.174,29,45864
357,18.063,18.947,1.773,17.243,16.162,4.419,5.556,4.545,5.159,4.458,171.972,0.763,5.631,17.929,125,132.274,4.541,1.157,0.864,0.942,173.522,32.588,151,96,255,18.937,1.824,3134.239,171,196600,34.943,13.489,40,8,79,18.956,1.699,631.152,37,39590,7.512,6.689,4,0,42,19.013,1.514,135.684,6,8511,25.868,10.329,20,8,61,19.023,1.665,467.234,24,29308
