 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
143,28.218,101.011,90.678,21.228,98.611,93.939,5.051,7.197,7.409,4.849,85.344,0.787,7.399,793,336,64.747,5.014,1.528,0.655,0.951,142.308,41.982,146,61,255,101.144,90.812,4015.62,138,251886,41.421,22.95,20,3,130,101.173,91.123,1168.819,38,73316,6.495,7.706,0,0,70,101.189,91.236,183.272,4,11496,23.127,19.743,17,5,253,101.139,90.74,652.578,19,40934
144,18.828,82.588,89.828,18.677,79.924,93.434,4.924,6.818,7.401,3.239,62.383,0.678,7.316,644,337,68.749,3.557,2.285,0.438,0.92,159.711,39.116,255,65,255,82.51,89.822,3007.004,153,188619,51.489,24.295,23,11,118,82.648,89.821,969.43,50,60809,35.608,23.68,13,2,121,82.674,89.749,670.418,30,42053,36.688,23.711,19,10,193,82.624,89.59,690.744,29,43328
145,10.697,18.742,90.376,15.734,16.667,93.182,4.04,5.934,6.532,2.085,55.029,0.543,7.04,132,332,57.45,2.404,3.133,0.319,0.902,106.969,36.566,88,45,231,18.643,90.176,1144.268,99,71776,23.489,7.421,20,8,47,18.801,90.315,251.265,23,15761,11.68,6.964,7,0,42,19.002,90.607,124.939,10,7837,36.162,14.96,28,14,138,18.85,90.374,386.838,33,24265
146,16.229,95.209,90.333,16.56,92.929,93.055,4.167,5.051,5.637,3.666,63.787,0.744,6.192,737,325,50.793,3.992,1.538,0.65,0.943,149.302,53.724,255,54,255,94.929,90.205,2423.041,134,151989,53.304,19.404,47,13,127,95.267,90.404,865.072,53,54263,13.433,10.329,6,0,95,95.407,90.275,218.01,11,13675,36.15,16.079,26,12,110,95.434,90.525,586.689,31,36801
147,22.255,54.882,88.624,22.034,51.641,92.929,5.429,7.828,8.453,3.352,62.157,0.576,9.008,409,348,58.761,3.534,2.522,0.397,0.919,127.668,37.805,124,53,255,54.877,88.669,2841.285,121,178224,39.963,17.591,35,6,104,54.905,88.788,889.4,39,55789,6.44,5.48,3,0,40,54.734,88.577,143.32,5,8990,46.047,22.36,38,8,143,54.873,88.774,1024.781,42,64281
148,16.867,86.249,89.141,17.784,83.965,92.424,4.545,6.439,6.738,3.187,67.081,0.67,6.788,670,342,71.565,3.539,2.114,0.473,0.9,156.752,35.839,136,65,255,86.287,89.035,2643.92,151,165844,49.964,19.163,34,13,114,86.321,89.236,842.737,48,52862,18.739,12.157,14,0,78,86.35,89.172,316.07,16,19826,48.554,31.196,41,13,255,86.408,89.338,818.951,40,51370
149,32.586,108.428,86.633,25.477,106.439,91.793,4.167,10.606,10.846,3.825,80.213,0.631,10.847,848,380,77.905,3.953,2.835,0.353,0.955,57.007,14.696,47,23,124,108.466,86.612,1857.618,55,116522,13.651,6.727,13,0,43,108.416,86.476,444.836,12,27903,1.799,1.926,0,0,15,108.42,86.588,58.62,1,3677,23.3,8.126,18,7,67,108.347,86.477,759.264,22,47626
150,31.358,43.053,87.299,23.057,40.53,91.288,4.672,8.333,8.623,4.63,96.708,0.741,8.625,331,301,107.904,4.669,1.862,0.537,0.941,152.345,48.509,255,53,255,42.903,87.429,4777.291,143,299663,46.156,22.553,20,8,117,43.096,87.579,1447.377,42,90789,14.973,9.313,10,0,70,43.038,87.267,469.53,13,29452,43.268,26.338,27,12,255,43.103,87.387,1356.826,37,85109
151,23.594,71.183,86.189,24.22,68.813,91.288,5.303,9.217,9.537,3.15,68.123,0.505,10.108,551,372,64.075,3.84,3.027,0.33,0.84,125.192,31.528,111,49,241,71.151,86.038,2953.837,121,185284,39.034,18.545,29,7,115,71.039,85.845,920.997,35,57771,7.824,6.017,4,0,62,71.384,86.93,184.595,6,11579,65.085,32.882,50,16,210,71.168,86.087,1535.649,58,96326
152,8.912,67.642,88.538,11.953,65.909,90.656,3.157,3.788,3.898,2.911,75.104,0.784,4.169,524,332,54.866,3.157,1.339,0.747,0.935,139.769,40.999,112,60,255,67.586,88.576,1245.581,136,78131,42.213,11.879,39,13,75,67.56,88.578,376.188,42,23597,10.626,5.445,7,0,36,67.532,88.601,94.697,10,5940,36.628,19.286,25,12,151,67.782,88.384,326.417,32,20475
153,12.371,33.141,86.803,16.251,31.313,89.899,3.662,6.313,6.957,2.264,63.572,0.589,7.004,249,361,62.049,2.374,3.073,0.325,0.931,113.119,51.628,76,39,255,32.964,86.265,1399.407,101,87780,24.834,8.791,26,6,54,33.189,86.622,307.222,25,19271,11.032,6.958,4,0,37,33.133,86.36,136.481,10,8561,43.531,29.691,33,12,255,33.06,86.619,538.528,36,33780
154,30.96,10.536,85.389,26.37,7.955,89.773,4.798,10.48,9.841,4.005,98.461,0.559,10.65,74,312,100.244,4.798,2.457,0.407,0.892,136.763,36.363,119,56,255,10.53,85.512,4234.14,131,265593,37.486,15.516,34,7,94,10.623,85.381,1160.545,36,72797,26.196,20.883,4,0,126,10.854,84.887,811.012,21,50872,27.276,11.01,18,7,80,10.502,85.705,844.459,25,52970
155,24.439,19.934,85.783,19.996,17.677,89.394,4.419,7.323,7.447,4.178,77.214,0.768,7.597,155,373,74.578,4.375,1.782,0.561,0.956,154.196,47.267,255,50,255,19.794,85.778,3768.468,147,236383,36.584,14.38,34,8,88,19.966,85.888,894.087,34,56083,11.9,8.293,7,0,53,19.93,85.464,290.818,10,18242,28.169,12.626,22,7,127,19.869,85.857,688.432,25,43183
156,19.497,37.794,86.486,18.167,35.48,89.268,4.419,5.934,5.883,4.22,89.488,0.742,6.12,290,318,111.801,4.374,1.394,0.717,0.929,143.618,47.712,255,57,255,37.731,86.619,2800.17,131,175645,40.109,15.635,34,7,96,37.676,86.724,782.013,39,49053,13.294,7.475,10,0,54,37.703,86.653,259.188,12,16258,33.716,16.337,19,8,131,37.755,86.836,657.377,30,41235
