 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AF8-DAPI,StdDev+AF8-DAPI,Mode+AF8-DAPI,Min+AF8-DAPI,Max+AF8-DAPI,XM+AF8-DAPI,YM+AF8-DAPI,IntDen+AF8-DAPI,Median+AF8-DAPI,RawIntDen+AF8-DAPI,Mean+AF8-Sox2,StdDev+AF8-Sox2,Mode+AF8-Sox2,Min+AF8-Sox2,Max+AF8-Sox2,XM+AF8-Sox2,YM+AF8-Sox2,IntDen+AF8-Sox2,Median+AF8-Sox2,RawIntDen+AF8-Sox2,Mean+AF8-Klf4,StdDev+AF8-Klf4,Mode+AF8-Klf4,Min+AF8-Klf4,Max+AF8-Klf4,XM+AF8-Klf4,YM+AF8-Klf4,IntDen+AF8-Klf4,Median+AF8-Klf4,RawIntDen+AF8-Klf4,Mean+AF8-Sox9,StdDev+AF8-Sox9,Mode+AF8-Sox9,Min+AF8-Sox9,Max+AF8-Sox9,XM+AF8-Sox9,YM+AF8-Sox9,IntDen+AF8-Sox9,Median+AF8-Sox9,RawIntDen+AF8-Sox9
106,27.403,37.515,90.055,21.467,34.343,93.306,5.682,7.071,8.038,4.341,118.362,0.747,8.337,34.595,35.858,125.134,4.447,1.852,0.54,0.949,137.834,18.85,125,82,216,37.487,90.003,3777.138,135,236937,46.327,8.825,54,24,73,37.47,90.074,1269.52,47,79636,1.234,1.469,0,0,10,37.642,89.931,33.828,1,2122,24.969,7.46,23,8,59,37.511,89.985,684.242,24,42922
107,11.398,19.569,89.828,14.348,17.298,92.548,3.788,5.05,4.965,2.923,64.942,0.696,5.351,18.939,41.666,70.71,3.342,1.699,0.589,0.888,143.049,29.117,141,74,253,19.462,89.769,1630.5,140,102280,54.786,17.405,47,22,101,19.472,89.765,624.462,54,39172,2.276,2.108,1,0,14,19.542,89.86,25.937,2,1627,28.164,11.465,21,11,83,19.549,89.778,321.015,25,20137
108,44.206,89.576,87.048,29.048,85.983,92.043,7.828,9.469,10.661,5.28,126.224,0.658,11.3,86.488,37.878,129.56,5.872,2.019,0.495,0.901,153.322,28.29,148,79,249,89.59,86.998,6777.716,150,425161,55.939,15.536,61,19,105,89.547,86.952,2472.818,57,155118,1.549,1.699,0,0,13,89.754,86.812,68.485,1,4296,52.81,20.025,54,13,178,89.407,86.981,2334.493,52,146441
109,45.848,48.538,86.318,34.017,44.191,91.917,9.091,11.49,13.389,4.36,118.685,0.498,14.296,44.191,37.499,128.186,4.991,3.071,0.326,0.853,165.91,31.535,160,69,255,48.613,86.229,7606.612,162,477157,57.876,18.2,68,19,125,48.389,86.292,2653.483,56,166451,1.822,1.943,0,0,25,48.552,86.214,83.534,1,5240,94.242,39.605,74,19,255,48.402,86.332,4320.808,89,271041
110,39.121,43.238,85.742,26.745,40.403,91.16,5.808,10.227,10.473,4.756,106.239,0.687,10.565,42.423,38.004,104.534,5.219,2.202,0.454,0.938,132.489,19.111,127,83,215,43.276,85.896,5183.053,129,325129,29.617,5.534,27,14,50,43.196,85.633,1158.63,30,72680,1.442,1.764,0,0,15,42.968,86.013,56.401,1,3538,17.019,6.97,15,4,66,43.341,85.687,665.782,16,41764
111,21.585,84.295,86.248,21.018,82.195,90.402,4.04,8.207,8.72,3.152,104.428,0.614,8.55,83.458,38.762,106.294,3.307,2.767,0.361,0.922,132.046,22.091,127,73,211,84.285,86.328,2850.186,130,178790,33.696,7.619,27,17,72,84.218,86.229,727.332,33,45625,1.363,1.633,0,0,14,84.291,86.041,29.428,1,1846,47.1,20.252,50,14,212,84.297,86.069,1016.655,45,63774
112,29.954,78.92,86.812,23.653,75.125,90.276,7.197,7.071,9.152,4.167,139.176,0.673,9.827,75.125,39.014,137.083,4.863,2.196,0.455,0.931,132.162,30.111,137,69,215,79.156,86.816,3958.808,131,248333,53.573,17.07,41,23,110,79.061,86.668,1604.722,50,100663,2.527,2.854,0,0,32,78.905,86.812,75.69,2,4748,31.723,23.818,18,7,222,78.703,86.955,950.227,24,59607
113,49.451,30.588,84.818,28.191,26.767,89.897,7.828,9.596,10.575,5.954,122.673,0.782,10.571,28.282,39.393,119.32,6.064,1.776,0.563,0.965,132.55,13.84,131,79,204,30.576,84.864,6554.662,131,411169,44.804,9.726,47,17,75,30.582,84.79,2215.601,46,138983,1.339,1.713,0,0,17,30.62,84.789,66.237,1,4155,20.361,6.515,17,4,58,30.646,84.761,1006.867,19,63160
114,63.591,126.611,83.492,36.223,122.219,89.771,7.071,13.636,12.394,6.532,97.753,0.609,13.734,127.649,39.393,96.864,7.071,1.897,0.527,0.926,129.958,22.478,135,56,209,126.582,83.548,8264.104,132,518401,17.978,3.283,20,8,38,126.601,83.554,1143.215,18,71713,1.536,1.86,0,0,21,126.627,83.219,97.658,1,6126,16.23,4.533,15,6,52,126.594,83.28,1032.07,16,64741
115,16.117,15.95,86.866,17.501,13.51,89.644,4.798,6.06,6.272,3.272,121.071,0.661,6.776,13.636,39.519,116.565,3.674,1.917,0.522,0.909,143.73,26.757,133,81,244,16.02,86.838,2316.479,139,145311,60.014,16.884,61,25,111,15.994,86.704,967.236,59,60674,1.651,1.72,0,0,10,15.919,86.915,26.606,1,1669,41.27,19.206,29,13,134,16.098,86.747,665.144,36,41724
116,36.49,103.047,83.801,27.237,100.25,89.644,5.808,10.606,10.293,4.514,109.274,0.618,11.22,101.134,39.519,109.047,5.179,2.28,0.439,0.901,147.196,20.363,145,73,220,103.063,83.907,5371.195,147,336931,41.584,11.159,34,13,81,103.014,83.721,1517.394,41,95185,1.745,1.858,0,0,18,103.001,83.986,63.686,1,3995,28.516,9.219,28,8,68,102.998,83.647,1040.567,27,65274
