 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AF8-DAPI,StdDev+AF8-DAPI,Mode+AF8-DAPI,Min+AF8-DAPI,Max+AF8-DAPI,XM+AF8-DAPI,YM+AF8-DAPI,IntDen+AF8-DAPI,Median+AF8-DAPI,RawIntDen+AF8-DAPI,Mean+AF8-Sox2,StdDev+AF8-Sox2,Mode+AF8-Sox2,Min+AF8-Sox2,Max+AF8-Sox2,XM+AF8-Sox2,YM+AF8-Sox2,IntDen+AF8-Sox2,Median+AF8-Sox2,RawIntDen+AF8-Sox2,Mean+AF8-Klf4,StdDev+AF8-Klf4,Mode+AF8-Klf4,Min+AF8-Klf4,Max+AF8-Klf4,XM+AF8-Klf4,YM+AF8-Klf4,IntDen+AF8-Klf4,Median+AF8-Klf4,RawIntDen+AF8-Klf4,Mean+AF8-Sox9,StdDev+AF8-Sox9,Mode+AF8-Sox9,Min+AF8-Sox9,Max+AF8-Sox9,XM+AF8-Sox9,YM+AF8-Sox9,IntDen+AF8-Sox9,Median+AF8-Sox9,RawIntDen+AF8-Sox9
180,36.06,63.343,74.6,29.418,61.11,80.049,4.545,11.868,11.859,3.872,84.222,0.524,12.108,61.615,60.983,78.573,4.545,3.063,0.326,0.856,172.412,32.215,185,79,255,63.274,74.57,6217.132,172,389996,32.369,7.721,27,15,63,63.294,74.651,1167.223,32,73219,1.99,2.526,0,0,33,63.307,74.668,71.769,1,4502,59.421,27.772,25,13,160,63.108,74.505,2142.717,55,134411
181,24.279,68.207,75.696,21.824,65.908,80.049,5.303,7.828,8.569,3.608,118.717,0.641,9.035,66.16,49.241,123.024,3.992,2.375,0.421,0.933,82.909,15.347,98,40,119,68.033,75.882,2012.937,84,126270,25.186,4.718,27,8,41,68.094,75.795,611.501,25,38359,2.626,3.283,1,0,61,68.381,75.782,63.766,2,4000,26.084,21.576,24,6,255,67.936,75.822,633.293,23,39726
182,26.399,97.031,76.262,21.554,94.442,79.796,4.798,7.828,8.262,4.069,108.93,0.714,8.489,95.2,49.368,112.751,4.534,2.031,0.492,0.938,161.603,36.4,147,79,255,96.96,76.227,4266.176,155,267614,43.118,15.494,27,15,94,97.128,76.326,1138.273,41,71403,3.4,3.462,2,0,44,97.185,76.446,89.767,3,5631,41.623,19.46,33,13,226,97.12,76.335,1098.802,38,68927
183,31.676,74.746,75.508,22.373,72.094,79.544,5.808,7.323,7.533,5.354,112.537,0.795,8.057,73.357,49.746,122.196,5.754,1.407,0.711,0.95,137.403,28.768,123,70,228,74.759,75.418,4352.356,134,273020,44.121,15.437,27,16,96,74.699,75.621,1397.578,42,87669,3.634,3.982,1,0,34,74.769,75.519,115.098,3,7220,46.311,23.435,26,9,166,74.76,75.71,1466.924,41,92019
184,9.485,1.378,77.44,11.726,0,79.165,3.03,3.535,3.766,3.207,79.53,0.867,4.122,0.126,53.534,49.97,3.03,1.175,0.851,0.975,55.746,5.189,54,42,74,1.356,77.444,528.765,56,33169,17.546,3.458,18,10,29,1.396,77.395,166.43,17,10440,1.948,2.121,0,0,13,1.196,77.327,18.476,1,1159,18.037,6.247,16,7,70,1.503,77.45,171.084,17,10732
185,33.509,38.021,74.715,26.314,34.721,78.786,6.566,9.091,10.096,4.226,118.504,0.608,10.926,34.721,50.378,123.69,4.725,2.389,0.419,0.91,157.86,34.995,150,70,255,38.148,74.698,5289.734,156,331821,36.982,10.89,27,17,75,37.849,74.83,1239.231,35,77736,1.41,1.66,0,0,13,38.051,74.765,47.235,1,2963,49.587,21.719,31,12,131,37.818,74.809,1661.617,47,104232
186,17.201,104.586,76.486,16.639,101.639,78.786,5.555,4.798,6.511,3.364,140.279,0.781,6.724,101.639,50.756,145.713,3.571,1.936,0.517,0.949,153.52,34.605,144,70,255,104.586,76.576,2640.682,149,165648,38.23,12.684,27,16,77,104.459,76.47,657.588,36,41250,2.49,2.727,0,0,23,104.467,76.386,42.835,2,2687,50.482,26.645,29,12,180,104.351,76.41,868.335,44,54470
187,43.871,89.835,74.047,28.308,85.478,78.281,8.459,8.838,10.013,5.579,46.649,0.688,9.918,88.003,59.721,58.536,5.854,1.795,0.557,0.897,158.926,37.581,176,64,255,90.006,74.184,6972.267,163,437365,41.084,10.092,34,17,86,89.758,73.999,1802.397,40,113063,2.903,2.759,1,0,28,89.776,74.05,127.341,2,7988,55.467,26.297,38,12,175,90.223,74.406,2433.411,50,152646
188,34.131,102.817,72.993,25.661,99.619,77.776,7.071,8.333,9.642,4.507,131.069,0.651,10.37,99.619,51.388,132.039,4.933,2.139,0.467,0.907,135.602,34.213,154,50,246,102.679,73.266,4628.208,140,290324,36.98,13.103,27,12,80,102.572,73.312,1262.171,35,79175,2.6,2.601,0,0,29,102.539,73.319,88.746,2,5567,54.842,24.842,42,9,217,102.589,73.268,1871.791,50,117416
189,22.717,120.003,73.75,19.263,118.179,77.271,3.788,7.197,7.522,3.845,82.811,0.769,7.51,118.81,59.09,73.393,3.788,1.956,0.511,0.958,130.836,30.136,137,66,241,120.048,73.754,2972.154,131,186441,33.858,12.522,22,11,75,119.915,73.768,769.147,31,48248,1.598,1.731,0,0,13,119.919,73.625,36.299,1,2277,24.585,16.3,16,5,193,119.829,73.346,558.496,21,35034
