 ,Area,X,Y,Perim,BX,BY,Width,Height,Major,Minor,Angle,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
359,29.142,18.036,11.417,23.075,14.646,14.646,6.818,6.187,7.243,5.123,151.324,0.688,7.865,15.152,114.773,137.603,5.558,1.414,0.707,0.885,199.844,48.026,255,74,255,18.157,11.334,5823.929,211,365315,30.204,12.759,20,10,92,17.937,11.454,880.201,27,55212,1.934,2.729,0,0,20,17.529,11.729,56.372,1,3536,13.462,7.735,10,1,69,17.699,11.491,392.306,11,24608
360,11.048,1.885,11.652,13.382,0.379,14.268,3.03,5.177,4.985,2.822,98.531,0.775,5.3,1.263,114.899,102.381,3.03,1.767,0.566,0.931,117.996,27.359,98,60,194,1.903,11.786,1303.61,117,81771,45.566,15.633,54,13,101,1.934,11.754,503.407,46,31577,2.082,2.705,0,0,27,1.964,11.264,23.005,1,1443,23.391,9.634,21,8,95,1.872,11.824,258.423,22,16210
361,34.961,79.443,9.882,23.986,76.389,14.141,7.071,7.955,8.583,5.186,125.929,0.764,8.835,77.146,115.278,120.964,5.454,1.655,0.604,0.934,125.459,38.124,144,34,252,79.531,9.795,4386.212,130,275132,39.509,23.285,13,1,134,79.455,9.991,1381.297,40,86644,3.501,3.648,0,0,25,79.5,9.935,122.404,2,7678,23.915,10.744,23,3,80,79.417,9.905,836.105,22,52446
362,31.103,117.539,10.794,22.305,113.889,14.141,6.944,6.944,8.19,4.836,133.255,0.786,8.307,114.646,115.278,133.152,5.061,1.694,0.59,0.944,145.161,32.44,134,71,255,117.558,10.837,4514.993,142,283210,56.266,27.741,82,5,135,117.634,11.018,1750.04,57,109774,4.807,5.027,0,0,37,117.651,10.998,149.522,3,9379,33.12,17.621,20,6,113,117.742,10.771,1030.154,29,64618
363,26.99,124.067,10.849,21.725,120.454,14.015,7.071,6.313,8.287,4.147,141.457,0.719,8.164,120.454,116.162,148.276,4.421,1.999,0.5,0.925,159.898,37.282,141,74,255,124.067,10.752,4315.668,155,270707,64.731,33.363,34,9,198,124.076,10.953,1747.091,63,109589,2.641,3.548,0,0,39,123.875,11.212,71.278,2,4471,24.266,10.321,16,3,71,124.094,10.912,654.938,22,41082
364,16.07,10.343,11.532,15.167,7.828,13.763,4.924,4.545,4.909,4.168,159.92,0.878,5.054,7.828,117.045,167.005,4.236,1.178,0.849,0.949,84.338,22.302,87,34,161,10.202,11.388,1355.295,86,85013,24.671,13.501,13,2,75,10.22,11.368,396.451,20,24868,2.704,3.217,0,0,30,10.23,11.653,43.458,2,2726,21.492,8.476,19,7,64,10.197,11.433,345.372,20,21664
365,23.674,90.585,9.846,20.396,88.257,13.636,4.924,7.197,7.165,4.207,115.172,0.715,7.627,89.394,115.53,109.335,4.712,1.703,0.587,0.92,116.481,33.47,112,54,245,90.547,9.87,2757.604,111,172975,28.326,17.28,20,3,109,90.538,9.852,670.593,24,42064,3.562,4.195,0,0,28,90.568,9.83,84.318,2,5289,21.727,9.47,16,5,64,90.522,9.86,514.375,20,32265
366,32.889,28.38,9.594,23.789,25,13.51,6.692,7.576,8.376,4.999,127.637,0.73,8.755,26.01,115.783,123.232,5.446,1.675,0.597,0.923,171.844,33.587,179,74,255,28.386,9.485,5651.753,175,354515,43.637,17.798,54,5,88,28.406,9.667,1435.166,46,90023,3.655,3.993,0,0,33,28.486,9.555,120.204,2,7540,30.034,13.3,18,6,83,28.444,9.629,987.795,27,61961
367,35.264,35.826,10.147,23.684,32.071,13.384,7.702,6.692,8.286,5.419,143.667,0.79,8.646,32.197,116.414,151.189,5.946,1.529,0.654,0.942,144.03,38.063,255,66,255,35.774,10.045,5079.093,137,318594,65.38,31.979,82,6,190,35.818,10.319,2305.578,69,144621,3.027,3.502,0,0,31,36.012,9.911,106.733,2,6695,21.299,9.912,18,4,82,35.937,10.237,751.085,20,47113
368,21.394,54.515,10.199,18.394,51.515,13.005,5.934,5.556,6.894,3.951,142.926,0.795,6.934,51.641,116.919,146.889,4.216,1.745,0.573,0.94,149.917,38.97,131,63,255,54.426,10.288,3207.381,143,201188,54.879,30.01,13,3,146,54.568,10.288,1174.112,54,73648,3.008,3.271,0,0,17,54.599,10.34,64.359,2,4037,29.639,14.865,14,5,96,54.439,10.272,634.117,27,39776
