 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AC0-DAPI,StdDev+AC0-DAPI,Mode+AC0-DAPI,Min+AC0-DAPI,Max+AC0-DAPI,XM+AC0-DAPI,YM+AC0-DAPI,IntDen+AC0-DAPI,Median+AC0-DAPI,RawIntDen+AC0-DAPI,Mean+AC0-Sox2,StdDev+AC0-Sox2,Mode+AC0-Sox2,Min+AC0-Sox2,Max+AC0-Sox2,XM+AC0-Sox2,YM+AC0-Sox2,IntDen+AC0-Sox2,Median+AC0-Sox2,RawIntDen+AC0-Sox2,Mean+AC0-Klf4,StdDev+AC0-Klf4,Mode+AC0-Klf4,Min+AC0-Klf4,Max+AC0-Klf4,XM+AC0-Klf4,YM+AC0-Klf4,IntDen+AC0-Klf4,Median+AC0-Klf4,RawIntDen+AC0-Klf4,Mean+AC0-Sox9,StdDev+AC0-Sox9,Mode+AC0-Sox9,Min+AC0-Sox9,Max+AC0-Sox9,XM+AC0-Sox9,YM+AC0-Sox9,IntDen+AC0-Sox9,Median+AC0-Sox9,RawIntDen+AC0-Sox9
407,29.71,107.341,6.595,21.945,104.03,10.353,5.808,7.828,7.782,4.861,110.039,0.775,8.393,421,470,111.161,5.642,1.601,0.625,0.898,96.455,29.973,96,19,221,107.25,6.628,2865.716,94,44948,62.112,32.181,42,9,154,107.366,6.801,1845.361,57,28944,6.15,11.317,2,0,171,107.135,6.717,182.725,4,2866,7.267,5.75,5,2,75,124.753,8.392,152.441,6,2391
408,20.976,124.558,8.262,17.573,121.958,10.353,5.808,5.05,5.945,4.493,32.737,0.854,6.438,487,489,41.82,4.821,1.323,0.756,0.949,73.988,38.959,47,8,202,124.455,8.573,1551.955,64,24342,11.711,4.224,13,3,25,124.753,8.333,245.653,11,3853,2.851,4.362,0,0,37,124.317,7.956,59.803,2,938,22.403,10.055,22,8,54,8.893,6.268,439.918,20,6900
409,19.637,8.922,6.075,18.793,7.07,9.595,3.788,7.07,7.222,3.462,84.058,0.699,7.23,33,501,77.905,3.754,2.086,0.479,0.889,140.643,33.667,91,77,243,8.956,6.119,2761.793,137,43318,51.614,22.86,30,15,123,8.905,6.349,1013.533,47,15897,7.776,8.036,4,0,64,8.888,6.276,152.696,6,2395,16.099,10.866,9,2,111,76.573,4.792,766.733,13,12026
410,47.626,76.646,4.841,28.128,72.72,9.595,7.323,9.343,10.268,5.906,59.601,0.756,10.716,291,509,55.561,6.396,1.739,0.575,0.915,118.088,41.692,99,39,255,76.716,4.883,5624.066,110,88212,72.345,32.991,89,13,158,76.529,4.888,3445.515,80,54042,93.843,62.141,9,1,255,76.53,4.848,4469.377,96,70101,19.897,11.689,11,5,65,34.764,5.768,417.348,16,6546
411,20.976,34.753,5.716,19.741,32.573,9.343,4.293,7.575,7.563,3.531,99.65,0.676,7.725,134,474,101.31,3.765,2.142,0.467,0.88,154.982,42.995,255,54,255,34.759,5.939,3250.867,149,50989,76.611,35.2,39,20,174,34.818,5.647,1606.976,78,25205,6.638,6.049,3,0,37,34.797,5.78,139.244,5,2184,11.175,7.232,7,3,47,119.058,6.876,158.881,9,2492
412,14.218,118.931,6.891,15.492,116.403,9.343,4.798,4.798,5.469,3.31,43.083,0.744,5.916,461,492,39.806,3.827,1.652,0.605,0.853,113.691,51.331,95,13,255,118.927,6.777,1616.412,103,25353,11.619,3.112,10,4,19,118.968,6.905,165.192,12,2591,30.466,25.5,3,0,115,119.073,6.933,433.16,25,6794,16.464,10.433,14,4,93,58.68,4.859,633.992,14,9944
413,38.509,58.636,4.752,26.046,55.045,9.09,7.07,8.838,10.202,4.806,53.877,0.713,10.575,220,510,56.689,5.337,2.123,0.471,0.91,124.844,39.24,110,43,255,58.559,4.756,4807.604,115,75406,72.556,32.148,28,14,168,58.832,4.826,2794.054,77,43824,46.497,33.379,10,0,169,58.906,4.878,1790.531,43,28084,26.444,15.908,9,6,78,3.34,4.5,509.157,22,7986
414,19.254,3.177,4.44,16.921,0.758,7.575,4.293,6.313,6.136,3.996,83.16,0.845,6.393,11,506,80.91,4.293,1.536,0.651,0.925,128.447,36.588,109,44,255,3.123,4.513,2473.169,124,38791,63.523,30.153,48,13,144,3.274,4.532,1223.1,61,19184,7.808,7.355,3,0,45,3.319,4.633,150.337,5,2358,35.159,22.036,14,5,136,42.446,3.618,932.499,29,14626
415,26.523,42.583,3.579,20.098,39.895,7.323,5.303,6.818,7.071,4.776,72.653,0.825,7.235,160,509,60.751,5.03,1.481,0.675,0.925,146.315,45.834,255,39,255,42.675,3.669,3880.652,141,60867,87.2,47.125,30,20,222,42.434,3.653,2312.758,84,36275,9.986,9.952,3,0,79,42.494,3.763,264.843,7,4154,25.601,13.325,13,6,76,18.689,3.77,625.13,23,9805
416,24.419,18.671,3.79,20.246,16.413,7.07,5.05,7.07,7.73,4.022,60.177,0.749,8.405,65,511,57.265,4.377,1.922,0.52,0.928,141.379,38.172,115,42,255,18.657,3.832,3452.273,134,54148,75.742,34.389,36,13,152,18.698,3.757,1849.505,76,29009,6.423,6.05,2,0,35,18.644,3.696,156.84,5,2460,53.323,23.018,51,14,180,103.423,3.889,989.306,49,15517
417,18.553,103.485,3.889,17.992,100.243,6.565,6.06,5.303,6.325,3.735,148.184,0.72,6.775,397,493,153.435,4.299,1.693,0.591,0.886,114.698,38.485,131,37,252,103.494,3.881,2127.992,114,33377,34.632,10.017,33,14,72,103.577,3.879,642.536,33,10078,3.921,3.182,3,0,18,103.482,3.76,72.746,3,1141,26.555,13.913,22,7,126,27.029,3.331,616.268,23,9666
418,23.207,26.965,3.258,18.497,24.24,6.313,5.555,6.06,6.35,4.653,52.026,0.852,6.671,99,510,60.524,4.914,1.365,0.733,0.922,147.786,37.041,144,50,255,26.958,3.226,3429.704,145,53794,50.876,16.307,36,17,109,27.026,3.367,1180.702,51,18519,8.497,9.598,3,0,77,27.098,3.352,197.198,6,3093,9.434,5.046,6,3,38,124.908,2.15,146.767,8,2302
419,15.557,124.954,2.17,17.869,122.463,5.303,4.545,5.555,6.119,3.237,62.069,0.612,6.869,485,512,53.973,3.858,1.89,0.529,0.867,109.705,36.842,80,27,233,124.915,2.071,1706.627,103,26768,15.951,3.451,16,7,26,124.951,2.181,248.139,16,3892,4.135,3.971,2,0,24,124.939,2.207,64.33,3,1009,10.32,6.653,7,3,48,119.086,3.211,84.222,8,1321
420,8.161,119.042,3.085,10.616,117.413,4.798,3.03,3.535,3.587,2.897,110.142,0.91,3.846,469,492,113.199,3.03,1.238,0.808,0.918,89.656,24.088,116,32,158,119.029,3.168,731.667,89,11476,10.578,3.021,10,4,19,119.026,3.09,86.326,10,1354,25.484,20.744,5,1,88,118.94,3.387,207.973,20,3262,13.699,7.572,7,4,58,31.928,1.452,144.982,12,2274
421,10.584,31.891,1.562,12.574,30.3,3.788,3.283,4.04,4.19,3.216,98.22,0.841,4.517,121,512,63.435,3.238,1.303,0.768,0.922,136.855,34.815,131,59,242,31.878,1.613,1448.415,132,22718,78.705,32.528,36,22,161,31.957,1.407,832.975,74,13065,6.452,5.071,2,0,23,31.852,1.57,68.283,5,1071,18.542,12.014,11,5,133,90.229,1.077,327.452,16,5136
422,17.66,90.409,1.14,18.017,86.86,3.283,7.323,3.535,6.462,3.48,176.496,0.684,7.362,344,509,174.094,3.535,1.857,0.539,0.936,124.632,45.826,103,40,255,90.465,1.04,2201.057,113,34523,59.274,21.956,60,16,129,90.311,1.145,1046.814,59,16419,50.177,32.548,17,1,167,90.225,1.154,886.148,46,13899,10.1,3.588,9,4,27,63.349,1.125,135.865,9,2131
423,13.453,63.379,1.097,14.803,60.348,2.778,5.555,3.03,5.717,2.996,12.592,0.771,6.102,239,512,24.444,3.03,1.908,0.524,0.946,75.114,19.165,77,33,120,63.14,0.986,1010.473,75,15849,29.64,9.004,36,10,64,63.166,0.995,398.732,29,6254,15.706,9.599,19,1,44,62.812,0.969,211.288,15,3314,78,39.957,111,11,191,101.785,0.933,1069.192,80,16770
424,13.708,101.393,0.935,16.023,98.475,2.778,6.313,3.03,6.127,2.849,172.869,0.671,6.393,390,508,170.91,3.03,2.151,0.465,0.927,136.056,39.04,135,29,253,101.551,0.952,1864.998,135,29252,43.037,16.043,45,15,84,101.688,0.923,589.937,43,9253,4.065,3.521,1,0,22,101.545,0.92,55.723,3,874,13.707,11.608,9,4,83,0.728,0.833,50.686,11,795
425,3.698,0.692,1.001,7.55,0,2.525,1.515,2.778,2.973,1.584,99.773,0.815,3.164,0,501,118.61,1.515,1.877,0.533,0.959,110.086,37.873,130,42,197,0.597,0.995,407.084,112,6385,46.603,23.532,48,14,118,0.566,1.011,172.333,42,2703,29.293,27.461,16,1,147,0.493,0.926,108.322,21,1699,13.837,5.297,11,6,29,9.602,0.392,43.227,13,678
426,3.124,9.541,0.497,6.749,8.333,1.515,2.273,1.768,2.268,1.754,22.326,0.862,2.684,33,512,41.186,1.768,1.293,0.773,0.925,94.633,31.092,68,55,200,9.572,0.415,295.638,88,4637,34.082,12.366,25,17,77,9.639,0.427,106.473,30,1670,14.306,10.196,11,3,56,9.632,0.358,44.693,12,701,24.522,13.855,14,5,73,36.7,0.439,104.752,22,1643
427,4.272,36.547,0.492,7.82,35.098,1.515,3.03,1.768,3.041,1.788,175.488,0.878,3.194,139,508,161.565,1.768,1.7,0.588,0.944,98.045,38.353,44,44,176,36.625,0.379,418.815,94,6569,46.925,28.544,28,16,126,36.751,0.362,200.45,37,3144,4.866,4.957,2,0,25,36.595,0.461,20.785,4,326,6.433,2.569,5,2,13,117.887,0.32,12.305,6,193
428,1.913,117.867,0.303,5.173,116.908,1.01,1.768,1.263,1.965,1.239,14.474,0.898,2.172,463,512,35.538,1.263,1.586,0.63,0.938,97.6,33.507,80,52,179,117.869,0.239,186.678,91,2928,10.167,3.163,13,5,18,117.906,0.29,19.446,10,305,4.033,5,0,0,24,117.816,0.256,7.715,3,121,21.746,11.307,16,5,62,25.337,127.357,332.744,20,5219
